displayName,ngc_path,network_arch
TAO Pretrained ImageNet Classification,nvidia/tao/pretrained_fan_classification_imagenet:fan_hybrid_base_in22k_1k_384,classification_pyt
TAO Pretrained ImageNet Classification,nvidia/tao/pretrained_fan_classification_imagenet:fan_hybrid_base_in22k_1k,classification_pyt
TAO Pretrained ImageNet Classification,nvidia/tao/pretrained_fan_classification_imagenet:fan_hybrid_base_in22k,classification_pyt
TAO Pretrained ImageNet Classification,nvidia/tao/pretrained_fan_classification_imagenet:fan_hybrid_large_in22k_1k_384,classification_pyt
TAO Pretrained ImageNet Classification,nvidia/tao/pretrained_fan_classification_imagenet:fan_hybrid_large_in22k_1k,classification_pyt
TAO Pretrained ImageNet Classification,nvidia/tao/pretrained_fan_classification_imagenet:fan_hybrid_large_in22k_384,classification_pyt
TAO Pretrained ImageNet Classification,nvidia/tao/pretrained_fan_classification_imagenet:fan_hybrid_large_in22k,classification_pyt
TAO Pretrained ImageNet Classification,nvidia/tao/pretrained_fan_classification_imagenet:fan_hybrid_small,classification_pyt
TAO Pretrained ImageNet Classification,nvidia/tao/pretrained_fan_classification_imagenet:fan_hybrid_tiny,classification_pyt
TAO Pretrained ImageNet Classification,nvidia/tao/pretrained_fan_classification_imagenet:fan_hybrid_Xlarge_in22k,classification_pyt
TAO Pretrained ImageNet Classification,nvidia/tao/pretrained_gcvit_classification_imagenet:gcvit_xxtiny_imagenet1k,classification_pyt
TAO Pretrained ImageNet Classification,nvidia/tao/pretrained_gcvit_classification_imagenet:gcvit_xtiny_imagenet1k,classification_pyt
TAO Pretrained ImageNet Classification,nvidia/tao/pretrained_gcvit_classification_imagenet:gcvit_tiny_imagenet1k,classification_pyt
TAO Pretrained ImageNet Classification,nvidia/tao/pretrained_gcvit_classification_imagenet:gcvit_small_imagenet1k,classification_pyt
TAO Pretrained ImageNet Classification,nvidia/tao/pretrained_gcvit_classification_imagenet:gcvit_base_imagenet1k,classification_pyt
TAO Pretrained ImageNet Classification,nvidia/tao/pretrained_gcvit_classification_imagenet:gcvit_large_imagenet1k,classification_pyt
TAO Pretrained ImageNet Classification,nvidia/tao/pretrained_gcvit_classification_imagenet:gcvit_large_imagenet22k_384,classification_pyt
TAO Pretrained ImageNet Classification,nvidia/tao/pretrained_fan_classification_nvimagenet:fan_base_hybrid_nvimagenet,classification_pyt
TAO Pretrained NVImageNet Classification,nvidia/tao/pretrained_fan_classification_nvimagenet:fan_small_hybrid_nvimagenet,classification_pyt
TAO Pretrained NVImageNet Classification,nvidia/tao/pretrained_fan_classification_nvimagenet:fan_large_hybrid_nvimagenet,classification_pyt
TAO Pretrained NVImageNet Classification,nvidia/tao/pretrained_fan_classification_nvimagenet:fan_small_hybrid_nvimagenet,centerpose
TAO Pretrained ImageNet Object Detection backbone,nvidia/tao/pretrained_dino_imagenet:fan_hybrid_base_in22k_1k_384,dino
TAO Pretrained ImageNet Object Detection backbone,nvidia/tao/pretrained_dino_imagenet:fan_hybrid_base_in22k_1k,dino
TAO Pretrained ImageNet Object Detection backbone,nvidia/tao/pretrained_dino_imagenet:fan_hybrid_base_in22k,dino
TAO Pretrained ImageNet Object Detection backbone,nvidia/tao/pretrained_dino_imagenet:fan_hybrid_large_in22k_1k_384,dino
TAO Pretrained ImageNet Object Detection backbone,nvidia/tao/pretrained_dino_imagenet:fan_hybrid_large_in22k_1k,dino
TAO Pretrained ImageNet Object Detection backbone,nvidia/tao/pretrained_dino_imagenet:fan_hybrid_large_in22k_384,dino
TAO Pretrained ImageNet Object Detection backbone,nvidia/tao/pretrained_dino_imagenet:fan_hybrid_large_in22k,dino
TAO Pretrained ImageNet Object Detection backbone,nvidia/tao/pretrained_dino_imagenet:fan_hybrid_small,dino
TAO Pretrained ImageNet Object Detection backbone,nvidia/tao/pretrained_dino_imagenet:fan_hybrid_tiny,dino
TAO Pretrained ImageNet Object Detection backbone,nvidia/tao/pretrained_dino_imagenet:gcvit_xxtiny_imagenet1k,dino
TAO Pretrained ImageNet Object Detection backbone,nvidia/tao/pretrained_dino_imagenet:gcvit_xtiny_imagenet1k,dino
TAO Pretrained ImageNet Object Detection backbone,nvidia/tao/pretrained_dino_imagenet:gcvit_tiny_imagenet1k,dino
TAO Pretrained ImageNet Object Detection backbone,nvidia/tao/pretrained_dino_imagenet:gcvit_small_imagenet1k,dino
TAO Pretrained ImageNet Object Detection backbone,nvidia/tao/pretrained_dino_imagenet:gcvit_base_imagenet1k,dino
TAO Pretrained ImageNet Object Detection backbone,nvidia/tao/pretrained_dino_imagenet:gcvit_large_imagenet1k,dino
TAO Pretrained ImageNet Object Detection backbone,nvidia/tao/pretrained_dino_imagenet:gcvit_large_imagenet22k_384,dino
TAO Pretrained ImageNet Semantic Segmentation backbone,nvidia/tao/pretrained_segformer_imagenet:fan_hybrid_base_in22k_1k_384,segformer
TAO Pretrained ImageNet Semantic Segmentation backbone,nvidia/tao/pretrained_segformer_imagenet:fan_hybrid_base_in22k_1k,segformer
TAO Pretrained ImageNet Semantic Segmentation backbone,nvidia/tao/pretrained_segformer_imagenet:fan_hybrid_base_in22k,segformer
TAO Pretrained ImageNet Semantic Segmentation backbone,nvidia/tao/pretrained_segformer_imagenet:fan_hybrid_large_in22k_1k_384,segformer
TAO Pretrained ImageNet Semantic Segmentation backbone,nvidia/tao/pretrained_segformer_imagenet:fan_hybrid_large_in22k_1k,segformer
TAO Pretrained ImageNet Semantic Segmentation backbone,nvidia/tao/pretrained_segformer_imagenet:fan_hybrid_large_in22k_384,segformer
TAO Pretrained ImageNet Semantic Segmentation backbone,nvidia/tao/pretrained_segformer_imagenet:fan_hybrid_large_in22k,segformer
TAO Pretrained ImageNet Semantic Segmentation backbone,nvidia/tao/pretrained_segformer_imagenet:fan_hybrid_small,segformer
TAO Pretrained ImageNet Semantic Segmentation backbone,nvidia/tao/pretrained_segformer_imagenet:fan_hybrid_tiny,segformer
TAO Pretrained ImageNet Semantic Segmentation backbone,nvidia/tao/pretrained_segformer_imagenet:fan_hybrid_Xlarge_in22k,segformer
TAO Pretrained ImageNet Semantic Segmentation backbone,nvidia/tao/pretrained_segformer_nvimagenet:fan_base_hybrid_nvimagenet,segformer
TAO Pretrained ImageNet Semantic Segmentation backbone,nvidia/tao/pretrained_segformer_nvimagenet:fan_small_hybrid_nvimagenet,segformer
TAO Pretrained ImageNet Semantic Segmentation backbone,nvidia/tao/pretrained_segformer_nvimagenet:fan_large_hybrid_nvimagenet,segformer
TAO Pretrained Cityscapes Semantic Segmentation backbone,nvidia/tao/pretrained_segformer_cityscapes:trainable_fan_base_hybrid_v1.0,segformer
TAO Pretrained Cityscapes Semantic Segmentation backbone,nvidia/tao/pretrained_segformer_cityscapes:trainable_fan_large_hybrid_v1.0,segformer
TAO Pretrained Cityscapes Semantic Segmentation backbone,nvidia/tao/pretrained_segformer_cityscapes:trainable_fan_small_hybrid_v1.0,segformer
TAO Pretrained Cityscapes Semantic Segmentation backbone,nvidia/tao/pretrained_segformer_cityscapes:trainable_fan_tiny_hybrid_v1.0,segformer
TAO Pretrained ImageNet Object Detection backbone,nvidia/tao/pretrained_deformable_detr_imagenet:gcvit_xxtiny_imagenet1k,deformable_detr
TAO Pretrained ImageNet Object Detection backbone,nvidia/tao/pretrained_deformable_detr_imagenet:gcvit_xtiny_imagenet1k,deformable_detr
TAO Pretrained ImageNet Object Detection backbone,nvidia/tao/pretrained_deformable_detr_imagenet:gcvit_tiny_imagenet1k,deformable_detr
TAO Pretrained ImageNet Object Detection backbone,nvidia/tao/pretrained_deformable_detr_imagenet:gcvit_small_imagenet1k,deformable_detr
TAO Pretrained ImageNet Object Detection backbone,nvidia/tao/pretrained_deformable_detr_imagenet:gcvit_base_imagenet1k,deformable_detr
TAO Pretrained NVImageNet Object Detection backbone,nvidia/tao/pretrained_dino_nvimagenet:gcvit_xxtiny_nvimagenet,dino
TAO Pretrained NVImageNet Object Detection backbone,nvidia/tao/pretrained_dino_nvimagenet:gcvit_xtiny_nvimagenet,dino
TAO Pretrained NVImageNet Object Detection backbone,nvidia/tao/pretrained_dino_nvimagenet:gcvit_tiny_nvimagenet,dino
TAO Pretrained NVImageNet Object Detection backbone,nvidia/tao/pretrained_dino_nvimagenet:gcvit_small_nvimagenet,dino
TAO Pretrained NVImageNet Object Detection backbone,nvidia/tao/pretrained_dino_nvimagenet:gcvit_base_nvimagenet,dino
TAO Pretrained NVImageNet Object Detection backbone,nvidia/tao/pretrained_dino_nvimagenet:fan_base_hybrid_nvimagenet,dino
TAO Pretrained NVImageNet Object Detection backbone,nvidia/tao/pretrained_dino_nvimagenet:fan_small_hybrid_nvimagenet,dino
TAO Pretrained NVImageNet Object Detection backbone,nvidia/tao/pretrained_dino_nvimagenet:fan_large_hybrid_nvimagenet,dino
TAO Pretrained NVImageNet Object Detection backbone,nvidia/tao/pretrained_dino_nvimagenet:resnet50,dino
TAO Pretrained NVImageNet Object Detection backbone,nvidia/tao/pretrained_dino_nvimagenet:fan_hybrid_tiny_nvimagenet,dino
TAO Pretrained NVImageNet Object Detection backbone,nvidia/tao/pretrained_deformable_detr_nvimagenet:gcvit_xxtiny_nvimagenet,deformable_detr
TAO Pretrained NVImageNet Object Detection backbone,nvidia/tao/pretrained_deformable_detr_nvimagenet:gcvit_xtiny_nvimagenet,deformable_detr
TAO Pretrained NVImageNet Object Detection backbone,nvidia/tao/pretrained_deformable_detr_nvimagenet:gcvit_tiny_nvimagenet,deformable_detr
TAO Pretrained NVImageNet Object Detection backbone,nvidia/tao/pretrained_deformable_detr_nvimagenet:gcvit_small_nvimagenet,deformable_detr
TAO Pretrained NVImageNet Object Detection backbone,nvidia/tao/pretrained_deformable_detr_nvimagenet:gcvit_base_nvimagenet,deformable_detr
TAO Pretrained NVImageNet Object Detection backbone,nvidia/tao/pretrained_deformable_detr_nvimagenet:resnet50,deformable_detr
Mask Auto Label,nvidia/tao/mask_auto_label:trainable_v1.0,mal
Mask Auto Label,nvidia/tao/mask_auto_label:trainable_v1.0,auto_label
TAO Pretrained COCO Object Detection end to end,nvidia/tao/pretrained_deformable_detr_coco:ddetr_resnet_50_trainable_v1.0,deformable_detr
TAO Pretrained COCO Object Detection end to end,nvidia/tao/pretrained_deformable_detr_coco:ddetr_gc_vit_tiny_trainable_v1.0,deformable_detr
TAO Pretrained COCO Object Detection end to end,nvidia/tao/pretrained_dino_coco:dino_resnet_50_trainable_v1.0,dino
TAO Pretrained COCO Object Detection end to end,nvidia/tao/pretrained_dino_coco:dino_gc_vit_tiny_trainable_v1.0,dino
TAO Pretrained COCO Object Detection end to end,nvidia/tao/pretrained_dino_coco:dino_fan_small_trainable_v1.0,dino
TAO Pretrained COCO Object Detection end to end,nvidia/tao/pretrained_dino_coco:dino_fan_large_trainable_v1.0,dino
TAO Pretrained NVImageNet Object Detection backbone,nvidia/tao/pretrained_efficientdet_tf2_nvimagenet:efficientnet-b4,efficientdet_tf2
TAO Pretrained NVImageNet Object Detection backbone,nvidia/tao/pretrained_efficientdet_tf2_nvimagenet:efficientnet-b5,efficientdet_tf2
TAO Pretrained NVImageNet Object Detection backbone,nvidia/tao/pretrained_efficientdet_tf2_nvimagenet:efficientnet-b3,efficientdet_tf2
TAO Pretrained NVImageNet Object Detection backbone,nvidia/tao/pretrained_efficientdet_tf2_nvimagenet:efficientnet-b2,efficientdet_tf2
TAO Pretrained NVImageNet Object Detection backbone,nvidia/tao/pretrained_efficientdet_tf2_nvimagenet:efficientnet-b1,efficientdet_tf2
TAO Pretrained NVImageNet Object Detection backbone,nvidia/tao/pretrained_efficientdet_tf2_nvimagenet:efficientnet-b0,efficientdet_tf2
TAO Pretrained NVImageNet Object Detection end to end,nvidia/tao/pretrained_efficientdet_tf2_coco:efficientet-d0_trainable_v1.0,efficientdet_tf2
TAO Pretrained Classification,nvidia/tao/pretrained_classification_tf2:efficientnet_b0,classification_tf2
TAO Pretrained NVImageNet Classification backbone,nvidia/tao/pretrained_efficientdet_tf2_nvimagenet:efficientnet-b4,classification_tf2
TAO Pretrained NVImageNet Classification backbone,nvidia/tao/pretrained_efficientdet_tf2_nvimagenet:efficientnet-b5,classification_tf2
TAO Pretrained NVImageNet Classification backbone,nvidia/tao/pretrained_efficientdet_tf2_nvimagenet:efficientnet-b3,classification_tf2
TAO Pretrained NVImageNet Classification backbone,nvidia/tao/pretrained_efficientdet_tf2_nvimagenet:efficientnet-b2,classification_tf2
TAO Pretrained NVImageNet Classification backbone,nvidia/tao/pretrained_efficientdet_tf2_nvimagenet:efficientnet-b1,classification_tf2
TAO Pretrained NVImageNet Classification backbone,nvidia/tao/pretrained_efficientdet_tf2_nvimagenet:efficientnet-b0,classification_tf2
PeopleSemSegformer,nvidia/tao/peoplesemsegformer:trainable_v1.0,segformer
CitySemSegformer,nvidia/tao/citysemsegformer:trainable_mit-b5_v1.0,segformer
CitySemSegformer,nvidia/tao/citysemsegformer:trainable_fan_v1.0,segformer
Retail Object Recognition,nvidia/tao/retail_object_recognition:trainable_v1.0,ml_recog
Retail Object Detection,nvidia/tao/retail_object_detection:trainable_100_v1.0,efficientdet_tf2
Retail Object Detection,nvidia/tao/retail_object_detection:trainable_binary_v1.0,efficientdet_tf2
Retail Object Detection,nvidia/tao/retail_object_detection:trainable_binary_v1.1,efficientdet_tf2
Retail Object Detection,nvidia/tao/retail_object_detection:trainable_binary_v2.0,dino
Retail Object Detection,nvidia/tao/retail_object_detection:trainable_meta_v2.0,dino
MONAI Spleen DeepEdit Annotation,iasixjqzw1hj/no-team/spleen_deepedit_annotation:0.5.3,monai_annotation
MONAI VISTA3d,iasixjqzw1hj/no-team/vista3d_segmentation:0.3.5,monai_vista3d
MONAI VISTA2d,iasixjqzw1hj/no-team/cell_vista_segmentation:0.1.7,monai_vista2d
MONAI Auto3dSeg,iasixjqzw1hj/no-team/auto3dseg:0.0.8,monai_automl
MONAI GenerativeAI,iasixjqzw1hj/no-team/generative_ai:0.1.5,monai_genai
MONAI MAISI,iasixjqzw1hj/no-team/maisi:0.1.7,monai_maisi
